Tgl,0,1,2,3,4,5,6,7,8,9,10,11,12,MAX,MIN,RATA-RATA
1,990.5,990.7,990.9,990.3,990.1,989.4,988.9,987.7,987.8,987.9,988.1,988.4,989.8,990.9,987.7,989.3
2,990.3,990.9,991.1,990.4,990.1,989.4,988.7,988,987.5,987.8,988.4,989.2,989.6,991.1,987.5,989.3
3,990.9,991.2,991.5,991,990.3,989.7,989.2,988.7,988.4,988.6,988.9,989.4,990.1,991.5,988.4,989.8
4,991.7,992.3,992.1,991.8,991.2,990.3,989.5,989.2,988.2,988.4,988.9,989.4,990,992.3,988.2,990.2
5,991.8,992.1,992,991.4,990.8,990,989.3,988.7,988.5,988.5,989,989.5,989.9,992.1,988.5,990.1
6,991.7,992,991.9,991.1,990.8,990.3,989.8,989.2,988.8,988.4,989.2,990,990.7,992,988.4,990.3
7,992,992.1,992.2,991.8,991.3,990.8,990.1,989.4,989.3,989.6,990.4,991.1,991.8,992.2,989.3,990.9
8,991.3,991.5,991.5,991.3,990.8,989.5,988.6,987.5,987,987.3,988.3,989.1,990.1,991.5,987,989.5
9,990.8,990.6,990.5,990.4,989.4,988.6,987.8,987.9,987.7,987.7,987.9,988.5,989.1,990.8,987.7,989
10,990.7,991,990.2,989.9,989.7,988.4,987.7,986.9,987.3,986.9,987.6,988.4,989.3,991,986.9,988.8
11,990.5,991.1,991.1,991,990.1,989.1,988.4,987.8,988.5,989,989.7,990.6,991.5,991.5,987.8,989.9
12,991,991.6,991.4,991.2,990.6,989.6,988.6,988.5,988.4,988.5,988.9,990.4,991,991.6,988.4,990
13,990.9,991.4,991.8,991.6,991.4,990.4,989.3,988.5,988.5,988.6,989.1,989.9,990.4,991.8,988.5,990.1
14,990.8,991.1,991.1,991.1,989.8,988.9,988.4,987.8,987.4,987.3,988.3,989,989.6,991.1,987.3,989.3
15,989.9,990.2,990.4,990.6,989.4,989.2,988.7,987.5,987.5,987.8,988.4,989.2,989.9,990.6,987.5,989.1
16,989.5,990.3,990.4,989.9,989.1,988.5,987.6,987.4,986.8,987.1,987.7,988.4,989.8,990.4,986.8,988.7
17,989.8,990.2,989.9,989.7,989.2,988.7,987.9,987.4,987.3,987.5,987.7,988.5,988.6,990.2,987.3,988.6
18,989.3,989.8,990,989.7,989,988.1,987,986.3,986.2,986.7,987.7,987.8,988.4,990,986.2,988.1
19,988.7,989.1,989.2,988.8,988.1,987.8,986.8,985.5,985.9,986,987,987.4,987.6,989.2,985.5,987.5
20,989.9,990,989.9,990,989.7,988.8,988.4,988.1,987.6,987.9,988.4,989.2,989.7,990,987.6,989
21,989.5,990.1,990.4,989.9,989.4,989.1,988.3,987.8,987.1,987.5,987.9,988.2,988.8,990.4,987.1,988.8
22,990.1,990.1,990.5,989.8,989.4,988.8,988.2,987.2,986.9,987.2,987.6,988.4,989,990.5,986.9,988.7
23,989.9,990.4,990.4,989.7,989.3,988.5,987.7,986.9,986.2,986.8,987.4,988.1,988.6,990.4,986.2,988.5
24,988.7,989,988.8,988.3,987.4,986.7,985.9,985.6,985.2,985.4,986.1,986.8,987.6,989,985.2,987
25,987.9,988.3,988.5,987.9,987,986.4,986,985.4,984.8,984.9,985.7,986.5,986.8,988.5,984.8,986.6
26,988.8,988.8,988.7,988.1,987.8,986.9,986.1,985.8,985.5,985.9,986.9,987.5,988.3,988.8,985.5,987.3
27,989.3,989.9,990.1,989.7,989.2,988.3,987.6,987.3,987.3,987.3,987.8,988.3,989.3,990.1,987.3,988.6
28,990.1,990.8,991,990.8,990.3,989.5,988.4,988.3,988.3,987.4,988.2,989.1,990.4,991,987.4,989.4
29,990.8,991.2,990.9,990.6,989.9,988.9,988.2,987.1,986.6,986.9,987.4,988.2,989.6,991.2,986.6,988.9
30,990.5,990.9,990.9,990.7,990.4,989.2,988.2,987.1,986.7,987,987.2,987.7,988.2,990.9,986.7,988.8
31,990.2,990.3,990.2,990.1,989.8,988.7,988.3,987.1,987.1,986.7,987.1,987.8,988.8,990.3,986.7,988.6
Max,992,992.3,992.2,991.8,991.4,990.8,990.1,989.4,989.3,989.6,990.4,991.1,991.8,992.3,989.3,990.9
Min,987.9,988.3,988.5,987.9,987,986.4,985.9,985.4,984.8,984.9,985.7,986.5,986.8,988.5,984.8,986.6
Rata-Rata,990.3,990.6,990.6,990.3,989.7,988.9,988.2,987.5,987.3,987.4,988,988.7,989.4,990.7,987.2,989
