tgl,average_SR,Max_SR
1,222.0,1255.7
2,241.9,1257.1
3,250.4,1298.8
4,261.0,1265.6
5,283.8,1164.2
6,260.7,1195.0
7,265.5,1231.1
8,279.2,1489.1
9,124.5,1070.9
10,202.5,1318.0
11,182.4,1254.6
12,153.1,1244.7
13,131.2,965.3
14,253.1,1122.3
15,193.6,1179.7
16,198.8,1247.1
17,155.0,1293.1
18,213.9,1238.9
19,203.4,1176.8
20,128.8,1180.7
21,238.0,1214.6
22,216.5,1329.7
23,169.3,1161.2
24,293.1,1197.9
25,280.6,1165.1
26,183.4,1241.7
27,179.3,1295.2
28,170.4,1189.0
29,252.4,1171.2
30,248.7,1211.9
31,265.6,1158.5
