tgl,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Des
1,S,,,,,,,,,,,
2,S,,,,,,,,,,,
3,W,,,,,,,,,,,
4,W,,,,,,,,,,,
5,W,,,,,,,,,,,
6,W,,,,,,,,,,,
7,SW,,,,,,,,,,,
8,W,,,,,,,,,,,
9,W,,,,,,,,,,,
10,W,,,,,,,,,,,
11,SW,,,,,,,,,,,
12,W,,,,,,,,,,,
13,NE,,,,,,,,,,,
14,N,,,,,,,,,,,
15,W,,,,,,,,,,,
16,S,,,,,,,,,,,
17,W,,,,,,,,,,,
18,SW,,,,,,,,,,,
19,SW,,,,,,,,,,,
20,W,,,,,,,,,,,
21,W,,,,,,,,,,,
22,W,,,,,,,,,,,
23,W,,,,,,,,,,,
24,W,,,,,,,,,,,
25,W,,,,,,,,,,,
26,SW,,,,,,,,,,,
27,SW,,,,,,,,,,,
28,W,,,,,,,,,,,
29,S,,,,,,,,,,,
30,W,,,,,,,,,,,
31,N,,,,,,,,,,,
Rata,W,,,,,,,,,,,
