Tanggal,tt_air_avg,tt_air_max,tt_air_min,rh_avg,pp_air,sr_avg,sr_max,ws_max,ws_avg,wd_avg,rr
2023-01-01,32.27,32.53,24.26,96.3,996.7031,944.0,941.0,5.885,3.278,289.5,2.6
2023-01-02,30.3,32.53,24.76,96.4,997.0661,779.9,962.0,7.344,3.726,301.7,10.4
2023-01-03,29.13,30.45,24.9,94.7,997.1528,980.0,962.0,6.202,3.213,300.5,10.4
2023-01-04,29.91,30.22,25.13,96.9,996.885,854.0,900.0,7.783,3.763,282.8,26.0
2023-01-05,29.33,30.22,25.86,96.3,998.0938,698.3,963.0,6.681,3.066,286.6,26.0
2023-01-06,30.24,30.38,25.05,97.0,997.1813,962.0,838.0,6.752,3.565,307.8,12.2
2023-01-07,31.08,31.33,25.06,97.1,996.5647,986.0,887.0,6.773,3.646,291.7,20.4
2023-01-08,30.85,31.33,25.1,94.9,997.8008,962.0,971.0,5.824,3.12,325.2,20.4
2023-01-09,30.77,31.09,26.1,93.6,998.177,955.0,989.0,5.61,2.735,319.4,0.2
2023-01-10,30.54,31.04,25.6,94.9,998.1168,989.0,992.0,7.048,3.705,317.3,0.4
2023-01-11,30.77,30.91,24.48,94.4,997.8321,948.0,613.0,5.549,2.841,342.3,0.2
2023-01-12,32.01,32.58,24.22,82.3,997.5148,999.0,926.0,4.855,2.875,280.0,0.0
2023-01-13,31.63,32.24,25.5,93.0,997.4221,988.0,819.0,6.079,3.275,298.3,0.0
2023-01-14,31.85,32.01,25.47,92.4,996.2153,976.0,970.0,6.671,3.806,290.1,0.0
2023-01-15,30.95,31.37,26.42,96.1,994.7102,972.0,933.0,6.487,3.2,299.3,5.2
2023-01-16,30.99,31.24,24.3,96.7,996.0879,999.0,886.0,6.334,3.489,285.5,3.4
2023-01-17,29.77,30.01,24.58,95.4,996.8299,899.0,733.6,5.834,3.108,296.2,0.8
2023-01-18,30.28,30.58,25.5,95.3,997.2272,837.0,852.0,6.069,3.066,290.1,0.0
2023-01-19,31.29,31.59,25.74,94.5,996.2461,991.0,983.0,6.13,3.231,293.3,0.0
2023-01-20,31.58,31.77,25.32,97.0,996.641,967.0,949.0,6.191,2.636,306.6,1.0
2023-01-21,31.89,32.12,24.38,96.3,995.057,996.0,977.0,7.793,3.852,330.2,1.0
2023-01-22,30.46,32.12,24.36,96.2,994.8233,977.0,672.1,6.355,3.346,317.7,9.4
2023-01-23,32.21,32.41,25.54,95.7,993.4721,962.0,993.0,5.488,2.927,340.4,9.4
2023-01-24,32.27,32.56,25.56,95.6,993.2874,976.0,964.0,6.895,3.515,292.1,1.2
2023-01-25,29.99,30.35,24.44,96.7,994.4661,841.0,867.0,7.385,3.556,310.8,28.2
2023-01-26,30.26,30.51,24.31,96.6,994.8058,846.0,946.0,5.987,2.969,299.0,37.6
2023-01-27,29.84,30.36,23.99,95.7,994.1031,848.0,610.4,3.896,2.071,282.2,0.0
2023-01-28,30.36,30.66,24.56,96.9,993.4908,702.3,864.0,5.467,2.45,292.8,2.2
2023-01-29,31.51,31.87,24.08,97.2,994.6181,998.0,1000.0,5.335,2.344,286.4,32.4
2023-01-30,29.96,31.87,24.37,97.0,995.5631,864.0,834.0,6.916,2.655,293.1,32.4
2023-01-31,31.38,31.75,24.8,97.0,995.2794,982.0,946.0,7.772,3.74,276.9,8.0
